"graph","subject","type","http://schema.org/ratingCount","http://schema.org/wordCount","http://schema.org/height","http://schema.org/actors","http://schema.org/sameAs","http://schema.org/musicBy","http://schema.org/jobTitle","http://schema.org/keywords","http://schema.org/reviewBody","http://schema.org/itemListElement","http://schema.org/thumbnail","http://schema.org/dateCreated","http://schema.org/url","http://schema.org/givenName","http://schema.org/subtitleLanguage","http://schema.org/mainEntityOfPage","http://schema.org/countryOfOrigin","http://schema.org/publisher","http://schema.org/worstRating","http://schema.org/potentialAction","http://schema.org/isPartOf","http://schema.org/video","http://schema.org/review","http://schema.org/interactionStatistic","http://schema.org/bestRating","http://schema.org/target","http://schema.org/reviewRating","http://schema.org/uploadDate","http://schema.org/genre","http://schema.org/contentRating","http://schema.org/caption","http://schema.org/image","http://schema.org/description","http://schema.org/logo","http://schema.org/thumbnailUrl","http://schema.org/itemReviewed","http://schema.org/articleSection","http://schema.org/workExample","http://schema.org/datePublished","http://schema.org/urlTemplate","http://schema.org/alternativeHeadline","http://schema.org/dateModified","http://schema.org/aggregateRating","http://schema.org/userInteractionCount","http://schema.org/reviewCount","http://schema.org/worksFor","http://schema.org/about","http://schema.org/contentUrl","http://schema.org/inLanguage","http://schema.org/interactionType","http://schema.org/headline","http://schema.org/query-input","http://schema.org/name","http://schema.org/duration","http://schema.org/item","http://schema.org/copyrightYear","http://schema.org/isAccessibleForFree","http://schema.org/breadcrumb","http://schema.org/director","http://schema.org/actor","http://schema.org/trailer","http://schema.org/URL","http://schema.org/copyrightHolder","http://schema.org/position","http://schema.org/author","http://schema.org/isFamilyFriendly","http://schema.org/productionCompany","http://schema.org/primaryImageOfPage","http://schema.org/ratingValue","http://schema.org/width","http://schema.org/embedUrl"
"https://adapter.pl/filmy/siekierezada/","n3fd5300e5d9f4c788843506a6fc638f1xb1","http://schema.org/AggregateRating","""1""","","","","","","","","","","","","","","","","","","","","","","","","""5""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""5""","",""
"https://adapter.pl/filmy/siekierezada/","nb94883f585ea4280856fbfeed586f949xb2","http://schema.org/ListItem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""Siekierezada""","","","","","","","","","","","""2""^^<http://www.w3.org/2001/XMLSchema#integer>","","","","","","",""
"https://adapter.pl/filmy/siekierezada/","https://adapter.pl/filmy/siekierezada/","http://schema.org/WebPage","","","","","","","","","","","","","<https://adapter.pl/filmy/siekierezada/>","","","","","","","_:nb94883f585ea4280856fbfeed586f949xb0","<https://adapter.pl/#website>","","","","","","","","","","","","","","","","","","""2020-01-17T23:00:58+00:00""^^<http://schema.org/Date>","","","""2021-08-03T22:43:19+00:00""^^<http://schema.org/Date>","","","","","","","""pl-PL""","","","","""Siekierezada - Adapter""","","","","","<https://adapter.pl/filmy/siekierezada/#breadcrumb>","","","","","","","","","","","","",""
"https://adapter.pl/filmy/siekierezada/","n3fd5300e5d9f4c788843506a6fc638f1xb0","http://schema.org/Movie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<https://adapter.pl/filmy/siekierezada/>","""Siekierezada""","","","","","","","","","","_:n3fd5300e5d9f4c788843506a6fc638f1xb1","","","","","","","","","","""Siekierezada""","","","","","","","","","","","","","","","","","",""
"https://adapter.pl/filmy/siekierezada/","nb94883f585ea4280856fbfeed586f949xb3","http://schema.org/SearchAction","","","","","","","","","","","","","","","","","","","","","","","","","","_:nb94883f585ea4280856fbfeed586f949xb4","","","","","","","","","","","","","","","","","","","","","","","","","","""required name=search_term_string""","","","","","","","","","","","","","","","","","","",""
"https://adapter.pl/filmy/siekierezada/","nb94883f585ea4280856fbfeed586f949xb0","http://schema.org/ReadAction","","","","","","","","","","","","","","","","","","","","","","","","","","<https://adapter.pl/filmy/siekierezada/>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://adapter.pl/filmy/siekierezada/","nb94883f585ea4280856fbfeed586f949xb1","http://schema.org/ListItem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""https://adapter.pl/""","","","","","","","","","""1""^^<http://www.w3.org/2001/XMLSchema#integer>","","","","","","",""
"https://adapter.pl/filmy/siekierezada/","https://adapter.pl/#website","http://schema.org/WebSite","","","","","","","","","","","","","<https://adapter.pl/>","","","","","","","_:nb94883f585ea4280856fbfeed586f949xb3","","","","","","","","","","","","","""Portal VOD""","","","","","","","","","","","","","","","","""pl-PL""","","","","""Adapter""","","","","","","","","","","","","","","","","","",""
"https://adapter.pl/filmy/siekierezada/","https://adapter.pl/filmy/siekierezada/#breadcrumb","http://schema.org/BreadcrumbList","","","","","","","","","","_:nb94883f585ea4280856fbfeed586f949xb1||||_:nb94883f585ea4280856fbfeed586f949xb2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://adapter.pl/filmy/siekierezada/","nb94883f585ea4280856fbfeed586f949xb4","http://schema.org/EntryPoint","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""https://adapter.pl/?s={search_term_string}""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
